"total","fecha_hora_venta","servicio"
1049.00,"2023-01-12 18:17:54",acrilico manos
1049.00,"2023-01-12 18:17:54",acrilico de color
1049.00,"2023-01-12 18:17:54",pedi basico
1049.00,"2023-01-12 18:17:54",gel en pies
1049.00,"2023-01-12 18:17:54",pedi basico
806.55,"2023-01-12 18:19:40",pedi basico
806.55,"2023-01-12 18:19:40",acrilico manos
806.55,"2023-01-12 18:19:40",acrilicio escultural
674.10,"2023-01-12 18:25:57",pedi basico
674.10,"2023-01-12 18:25:57",acrilico manos
190.00,"2023-01-12 18:26:34",pedi basico
659.00,"2023-01-12 18:30:49",acrilico retoque 
659.00,"2023-01-12 18:30:49",acrilico retoque 
190.00,"2023-01-12 18:36:54",gel en manos
330.00,"2023-01-12 18:53:05",mani basico
330.00,"2023-01-12 18:53:05",calcio en manos 
290.00,"2023-01-12 19:01:39",gel en manos
290.00,"2023-01-12 19:01:39",calcio retoque en manos 
370.00,"2023-01-12 19:04:36",acrilico retoque 
370.00,"2023-01-12 19:04:36",gel en manos
380.00,"2023-01-12 19:15:09", acrilico retiro 
380.00,"2023-01-12 19:15:09",mani express
380.00,"2023-01-12 19:15:09",pedi basico
869.00,"2023-01-12 19:17:05",acrilico manos
869.00,"2023-01-12 19:17:05",acrilico de color
869.00,"2023-01-12 19:17:05",acrilicio escultural
869.00,"2023-01-12 19:17:05",pedi basico
609.00,"2023-01-12 19:26:47",pedi express
740.05,"2023-01-13 13:22:37",acrilico manos
740.05,"2023-01-13 13:22:37", acrilico retiro 
740.05,"2023-01-13 13:22:37",acrilico de color
370.00,"2023-01-13 13:31:39",calcio en manos 
370.00,"2023-01-13 13:31:39",pedi basico
399.00,"2023-01-13 13:53:47",acrilico retoque 
399.00,"2023-01-13 13:53:47",gel en manos
1000.00,"2023-01-13 14:47:31",acrilico manos
1000.00,"2023-01-13 14:47:31",pedi dif lujo
1000.00,"2023-01-13 14:47:31",acrilico de color
778.05,"2023-01-13 14:51:05",calcio en pies 
778.05,"2023-01-13 14:51:05",acrilico de color
320.00,"2023-01-13 14:54:14",acrilico manos
320.00,"2023-01-13 14:54:14",acrilico de color
110.00,"2023-01-13 14:54:53", acrilico retiro 
260.00,"2023-01-13 18:30:18", acrilico retiro 
260.00,"2023-01-13 18:30:18",mani basico
90.00,"2023-01-13 18:31:22",pedi express
55.00,"2023-01-13 18:31:58",acrilico uña remplazo 
489.00,"2023-01-13 18:33:46",pedi basico
669.00,"2023-01-13 18:37:32",acrilicio escultural
669.00,"2023-01-13 18:37:32",mani basico
214.70,"2023-01-13 18:38:14",gel en manos
135.00,"2023-01-13 18:39:28",Gel retiro 
135.00,"2023-01-13 18:39:28",mani express
200.00,"2023-01-13 18:40:09",depilacion de axila
200.00,"2023-01-13 18:40:09",mani express
1153.00,"2023-01-13 18:57:50",pedi exfo
1153.00,"2023-01-13 18:57:50",pedi exfo
1153.00,"2023-01-13 18:57:50",mani de niña
470.00,"2023-01-13 19:00:11",calcio en manos 
290.00,"2023-01-13 19:06:51",acrilico manos
430.00,"2023-01-14 11:08:43",calcio en manos 
430.00,"2023-01-14 11:08:43",gel en manos
1838.00,"2023-01-14 12:59:28",acrilico retoque 
1838.00,"2023-01-14 12:59:28",pedi basico
1838.00,"2023-01-14 12:59:28",acrilico manos
1838.00,"2023-01-14 12:59:28",pedi basico
1838.00,"2023-01-14 12:59:28",acrilico retoque 
1838.00,"2023-01-14 12:59:28",gel en manos
407.55,"2023-01-14 13:00:25",pedi exfo
151.90,"2023-01-14 13:11:29",Gel retiro 
151.90,"2023-01-14 13:11:29",Gel retiro 
151.90,"2023-01-14 13:11:29",mani de niña
700.00,"2023-01-14 13:16:59", acrilico retiro 
380.00,"2023-01-14 13:26:35",acrilico manos
380.00,"2023-01-14 13:26:35",acrilico de color
190.00,"2023-01-14 13:27:13",gel en manos
389.50,"2023-01-14 14:01:42",calcio en manos 
335.00,"2023-01-14 14:02:59",mani de niña
818.10,"2023-01-14 14:17:33",acrilico manos
818.10,"2023-01-14 14:17:33",acrilico de color
818.10,"2023-01-14 14:17:33",pedi basico
210.00,"2023-01-14 16:59:19",gel en manos
513.00,"2023-01-14 18:11:40",acrilico retoque 
513.00,"2023-01-14 18:11:40",gel en manos
513.00,"2023-01-14 18:11:40",depilacion de bigote
513.00,"2023-01-14 18:11:40",depilacion de ceja
620.00,"2023-01-14 18:13:08",acrilico manos
620.00,"2023-01-14 18:13:08",acrilico de color
620.00,"2023-01-14 18:13:08",pedi basico
390.00,"2023-01-14 18:30:27",mani express
390.00,"2023-01-14 18:30:27",mani express
520.00,"2023-01-14 18:34:56",mani de lujo
520.00,"2023-01-14 18:34:56", acrilico retiro 
520.00,"2023-01-14 18:34:56",gel en manos
329.00,"2023-01-14 18:35:57",mani exfo
489.00,"2023-01-14 18:36:46",pedi basico
760.00,"2023-01-14 18:38:13",depilacion de bigote
760.00,"2023-01-14 18:38:13",depilacion de ceja
380.00,"2023-01-14 18:39:05",pedi basico
380.00,"2023-01-14 18:39:05",pedi basico
110.00,"2023-01-14 18:40:55", acrilico retiro 
400.00,"2023-01-14 19:06:46", acrilico retiro 
659.00,"2023-01-14 19:07:55",acrilico retoque 
190.00,"2023-01-14 19:16:02",pedi basico
679.00,"2023-01-17 13:12:10",acrilicio escultural
679.00,"2023-01-17 13:12:10",mani basico
819.00,"2023-01-17 13:45:32",acrilico manos
819.00,"2023-01-17 13:45:32",mani exfo
819.00,"2023-01-17 13:45:32",pedi exfo
819.00,"2023-01-17 13:45:32",depilacion de ceja
819.00,"2023-01-17 13:45:32",depilacion de bigote
370.00,"2023-01-17 13:48:00",acrilico retoque 
370.00,"2023-01-17 13:48:00",gel en manos
569.05,"2023-01-17 13:50:01", acrilico retiro 
480.00,"2023-01-17 14:08:40",acrilico retoque 
480.00,"2023-01-17 14:08:40",acrilico uña remplazo 
480.00,"2023-01-17 14:08:40",acrilico uña remplazo 
480.00,"2023-01-17 14:08:40",gel en manos
150.00,"2023-01-17 14:09:08",mani basico
597.55,"2023-01-17 17:26:55",acrilico retoque 
228.00,"2023-01-17 18:09:04",gel en manos
459.00,"2023-01-17 18:43:13",acrilicio escultural
599.00,"2023-01-17 19:02:05",acrilico manos
469.00,"2023-01-17 19:04:25",mani express
469.00,"2023-01-17 19:04:25",pedi basico
469.00,"2023-01-17 19:04:25",gel en pies
959.50,"2023-01-17 19:26:40",depilacion de ceja
959.50,"2023-01-17 19:26:40",depilacion de media pierna
959.50,"2023-01-17 19:26:40",depilacion de bigote
799.00,"2023-01-18 10:51:11",acrilico manos
799.00,"2023-01-18 10:51:11",pedi basico
110.00,"2023-01-18 11:11:51", acrilico retiro 
190.00,"2023-01-18 12:48:58",pedi basico
100.00,"2023-01-18 12:50:31",calcio retoque en manos 
333.00,"2023-01-18 12:52:12",acrilico retoque 
333.00,"2023-01-18 12:52:12",gel en manos
799.00,"2023-01-18 13:23:17", acrilico retiro 
799.00,"2023-01-18 13:23:17",depilacion de bigote
799.00,"2023-01-18 13:23:17",depilacion de ceja
799.00,"2023-01-18 13:23:17",depilacion de axila
540.55,"2023-01-18 17:23:42",calcio retoque en manos 
540.55,"2023-01-18 17:23:42",pedi dif lujo
205.00,"2023-01-18 17:25:18",Gel retiro 
205.00,"2023-01-18 17:25:18",mani basico
431.30,"2023-01-18 17:29:46",Gel retiro 
749.00,"2023-01-18 17:30:50",acrilico manos
749.00,"2023-01-18 17:30:50",pedi basico
400.00,"2023-01-18 17:31:48",calcio retoque en manos 
400.00,"2023-01-18 17:31:48",acrilico uña remplazo 
550.00,"2023-01-18 17:34:10",depilacion de bigote
550.00,"2023-01-18 17:34:10",depilacion de ceja
550.00,"2023-01-18 17:34:10",depilacion de bikini
550.00,"2023-01-18 17:34:10",depilacion de axila
579.00,"2023-01-18 17:42:33",calcio en manos 
190.00,"2023-01-18 17:43:48",pedi basico
798.00,"2023-01-18 17:50:46",pedi dif lujo
798.00,"2023-01-18 17:50:46",calcio retoque en manos 
749.00,"2023-01-18 18:07:56",acrilico manos
749.00,"2023-01-18 18:07:56",pedi basico
240.00,"2023-01-18 19:03:12",pedi basico
240.00,"2023-01-18 19:03:12",Gel retiro 
660.00,"2023-01-19 12:30:38",calcio en manos 
660.00,"2023-01-19 12:30:38",pedi basico
290.00,"2023-01-19 12:38:31",calcio retoque en manos 
290.00,"2023-01-19 12:38:31",pedi basico
489.00,"2023-01-19 12:39:32",pedi basico
399.00,"2023-01-19 12:50:49",gel en pies
399.00,"2023-01-19 12:50:49",pedi basico
480.00,"2023-01-19 13:27:48",mani dif lujo
480.00,"2023-01-19 13:27:48",calcio en manos 
370.00,"2023-01-19 14:06:44",acrilico retoque 
370.00,"2023-01-19 14:06:44",gel en manos
819.00,"2023-01-19 17:15:48",calcio en manos 
380.00,"2023-01-19 17:38:26",acrilico retoque 
380.00,"2023-01-19 17:38:26",gel en manos
100.00,"2023-01-19 18:31:01",calcio retoque en manos 
240.00,"2023-01-19 18:31:47",gel en manos
1079.00,"2023-01-19 18:34:55",pedi basico
1079.00,"2023-01-19 18:34:55",acrilico manos
1079.00,"2023-01-19 18:34:55",acrilicio escultural
1079.00,"2023-01-19 18:34:55",depilacion de axila
1079.00,"2023-01-19 18:34:55",pedi exfo
150.00,"2023-01-19 18:36:49",mani basico
110.00,"2023-01-19 18:55:48", acrilico retiro 
770.00,"2023-01-20 11:10:07",calcio en manos 
100.00,"2023-01-20 11:21:48",calcio retoque en manos 
290.00,"2023-01-20 12:18:27",calcio retoque en manos 
290.00,"2023-01-20 12:18:27",gel en manos
450.00,"2023-01-20 12:20:28",mani dif lujo
450.00,"2023-01-20 12:20:28",pedi dif lujo
250.00,"2023-01-20 13:13:31",gel en manos
390.00,"2023-01-20 13:33:20",calcio retoque en manos 
190.00,"2023-01-20 14:54:02",gel en manos
844.55,"2023-01-20 15:06:28", acrilico retiro 
844.55,"2023-01-20 15:06:28",acrilico manos
844.55,"2023-01-20 15:06:28",acrilicio escultural
844.55,"2023-01-20 15:06:28",acrilico de color
455.05,"2023-01-20 15:33:28",pedi de lujo
455.05,"2023-01-20 15:33:28",gel en pies
630.00,"2023-01-20 16:29:16",pedi basico
630.00,"2023-01-20 16:29:16",acrilico manos
630.00,"2023-01-20 16:29:16",acrilicio escultural
630.00,"2023-01-20 16:29:16",acrilico de color
630.00,"2023-01-20 16:29:16",mani limpieza
175.00,"2023-01-20 17:15:22",depilacion de ceja
429.00,"2023-01-20 18:35:29",pedi exfo
370.50,"2023-01-20 18:57:28",calcio retoque en manos 
180.50,"2023-01-20 18:59:16",pedi basico
1587.00,"2023-01-21 11:59:03",calcio en manos 
1587.00,"2023-01-21 11:59:03",acrilico manos
1587.00,"2023-01-21 11:59:03",acrilicio escultural
1587.00,"2023-01-21 11:59:03",acrilico de color
1587.00,"2023-01-21 11:59:03",pedi express
1587.00,"2023-01-21 11:59:03",pedi exfo
880.00,"2023-01-21 12:18:05",acrilico manos
190.00,"2023-01-21 12:18:56",gel en manos
440.00,"2023-01-21 12:21:30",mani basico
440.00,"2023-01-21 12:21:30",calcio retoque en manos 
440.00,"2023-01-21 12:21:30",pedi basico
210.00,"2023-01-21 13:40:55",gel en manos
270.00,"2023-01-21 13:43:05",gel en manos
270.00,"2023-01-21 13:43:05",mani express
959.00,"2023-01-21 13:54:24",acrilico manos
959.00,"2023-01-21 13:54:24",acrilico de color
959.00,"2023-01-21 13:54:24",pedi de lujo
512.05,"2023-01-21 14:23:08",Gel retiro 
190.00,"2023-01-21 14:59:56",gel en manos
50.00,"2023-01-21 15:37:15",Gel retiro 
459.00,"2023-01-21 16:14:40",acrilicio escultural
351.50,"2023-01-21 16:17:22",acrilico retoque 
351.50,"2023-01-21 16:17:22",gel en manos
619.00,"2023-01-21 17:24:54",pedi dif lujo
619.00,"2023-01-21 17:24:54",Gel retiro 
619.00,"2023-01-21 17:24:54",mani basico
380.00,"2023-01-21 17:31:07",pedi dif lujo
465.50,"2023-01-21 18:43:30",calcio retoque en manos 
465.50,"2023-01-21 18:43:30",calcio retoque en pies 
240.00,"2023-01-21 18:45:06",gel en manos
240.00,"2023-01-21 18:45:06",acrilico uña remplazo 
709.00,"2023-01-21 18:50:41",pedi basico
709.00,"2023-01-21 18:50:41",gel en pies
709.00,"2023-01-21 18:50:41",acrilico manos
709.00,"2023-01-21 18:50:41",acrilico de color
480.00,"2023-01-21 18:54:32",pedi dif lujo
719.00,"2023-01-24 10:47:34",acrilico retoque 
719.00,"2023-01-24 10:47:34",acrilico uña remplazo 
719.00,"2023-01-24 10:47:34",pedi basico
549.00,"2023-01-24 12:07:30",pedi basico
549.00,"2023-01-24 12:07:30",mani limpieza
429.00,"2023-01-24 12:34:07",calcio retoque en manos 
190.00,"2023-01-24 13:12:33",pedi basico
807.00,"2023-01-24 14:21:10",gel en pies
807.00,"2023-01-24 14:21:10",pedi express
807.00,"2023-01-24 14:21:10", acrilico retiro 
190.00,"2023-01-24 14:22:13",gel en manos
425.00,"2023-01-24 15:41:54",Gel retiro 
425.00,"2023-01-24 15:41:54",depilacion de ceja
519.00,"2023-01-24 16:45:44",pedi basico
290.00,"2023-01-24 16:49:07",pedi basico
290.00,"2023-01-24 16:49:07",calcio retoque en manos 
692.55,"2023-01-24 16:55:28",acrilico retoque 
692.55,"2023-01-24 16:55:28",pedi basico
190.00,"2023-01-24 17:10:09",Gel retiro 
190.00,"2023-01-24 17:10:09",mani basico
649.00,"2023-01-24 18:49:00",acrilico manos
649.00,"2023-01-24 18:49:00",acrilicio escultural
407.55,"2023-01-24 18:56:51",pedi exfo
959.00,"2023-01-25 11:15:25",acrilico manos
959.00,"2023-01-25 11:15:25",pedi dif lujo
959.00,"2023-01-25 11:15:25",pedi de lujo
624.00,"2023-01-25 13:07:18",depilacion de ceja
429.00,"2023-01-25 13:52:23",pedi exfo
769.00,"2023-01-25 14:41:49",acrilico manos
769.00,"2023-01-25 14:41:49",acrilico de color
769.00,"2023-01-25 14:41:49",acrilicio escultural
769.00,"2023-01-25 14:41:49",pedi dif lujo
899.00,"2023-01-25 14:44:07",acrilico manos
899.00,"2023-01-25 14:44:07",pedi basico
50.00,"2023-01-25 14:51:01",Gel retiro 
100.00,"2023-01-25 14:52:37",Gel retiro 
100.00,"2023-01-25 14:52:37",Gel retiro 
370.00,"2023-01-25 17:04:12",acrilico retoque 
370.00,"2023-01-25 17:04:12",gel en manos
150.00,"2023-01-25 17:05:58",mani basico
1008.00,"2023-01-25 18:31:30",pedi basico
1008.00,"2023-01-25 18:31:30",pedi exfo
1008.00,"2023-01-25 18:31:30",pedi exfo
1008.00,"2023-01-25 18:31:30",pedi exfo
550.00,"2023-01-25 18:42:59",calcio en manos 
550.00,"2023-01-25 18:42:59",acrilico retoque 
550.00,"2023-01-25 18:42:59",gel en manos
190.00,"2023-01-25 18:56:40",gel en manos
589.00,"2023-01-26 12:20:57",calcio retoque en manos 
589.00,"2023-01-26 12:20:57",pedi basico
190.00,"2023-01-26 12:21:24",gel en manos
150.00,"2023-01-26 12:23:21",mani basico
459.00,"2023-01-26 15:11:15",acrilico de color
669.00,"2023-01-26 15:12:11",acrilico retoque 
669.00,"2023-01-26 15:12:11",pedi basico
489.00,"2023-01-26 15:12:46",pedi basico
709.00,"2023-01-26 15:14:26",acrilico manos
709.00,"2023-01-26 15:14:26",acrilico de color
709.00,"2023-01-26 15:14:26",pedi basico
709.00,"2023-01-26 15:14:26",gel en pies
459.00,"2023-01-26 17:46:47",acrilicio escultural
369.00,"2023-01-26 17:51:00",gel en manos
369.00,"2023-01-26 17:51:00",pedi express
369.00,"2023-01-26 17:51:00",pedi exfo
390.00,"2023-01-26 17:55:47",mani express
889.00,"2023-01-26 18:30:41",acrilico de color
889.00,"2023-01-26 18:30:41",acrilico manos
889.00,"2023-01-26 18:30:41",pedi basico
889.00,"2023-01-26 18:30:41",gel en pies
889.00,"2023-01-26 18:30:41",acrilicio escultural
200.00,"2023-01-26 18:31:18",Gel retiro 
200.00,"2023-01-26 18:31:18",mani basico
770.00,"2023-01-26 19:04:50",calcio en manos 
390.00,"2023-01-26 19:06:32",gel en manos
390.00,"2023-01-26 19:06:32",calcio retoque en manos 
390.00,"2023-01-26 19:06:32",calcio retoque en manos 
997.28,"2023-01-26 19:13:59",acrilico manos
997.28,"2023-01-26 19:13:59",mani limpieza
997.28,"2023-01-26 19:13:59",depilacion de ceja
997.28,"2023-01-26 19:13:59",pedi basico
997.28,"2023-01-26 19:13:59",acrilico de color
646.00,"2023-01-27 10:50:46",pedi dif lujo
380.00,"2023-01-27 11:01:15",acrilico manos
380.00,"2023-01-27 11:01:15",acrilico de color
380.00,"2023-01-27 11:01:15",mani limpieza
323.00,"2023-01-27 11:42:27",Gel retiro 
351.50,"2023-01-27 12:33:13",acrilico retoque 
351.50,"2023-01-27 12:33:13",gel en manos
190.00,"2023-01-27 12:35:12",pedi basico
570.00,"2023-01-27 14:26:02",depilacion de axila
570.00,"2023-01-27 14:26:02",calcio en manos 
450.00,"2023-01-27 16:44:18",pedi de lujo
450.00,"2023-01-27 16:44:18",depilacion de ceja
450.00,"2023-01-27 16:44:18",depilacion de bigote
150.00,"2023-01-27 16:46:05",mani basico
290.00,"2023-01-27 17:15:08",calcio retoque en manos 
290.00,"2023-01-27 17:15:08",pedi basico
247.00,"2023-01-27 17:20:26", acrilico retiro 
247.00,"2023-01-27 17:20:26",mani basico
190.00,"2023-01-27 18:08:11",pedi basico
689.00,"2023-01-27 18:10:48", acrilico retiro 
489.00,"2023-01-27 18:21:38",pedi basico
854.05,"2023-01-27 18:31:30",acrilico manos
854.05,"2023-01-27 18:31:30",pedi basico
854.05,"2023-01-27 18:31:30",gel en pies
218.50,"2023-01-28 10:48:50",calcio en manos 
190.00,"2023-01-28 12:16:22",pedi basico
190.00,"2023-01-28 12:18:30",pedi basico
190.00,"2023-01-28 13:30:33",gel en manos
250.00,"2023-01-28 13:33:44",gel en manos
250.00,"2023-01-28 13:33:44",mani limpieza
100.00,"2023-01-28 14:02:23",calcio retoque en manos 
409.00,"2023-01-28 14:04:09", acrilico retiro 
340.00,"2023-01-28 15:42:00", acrilico retiro 
854.05,"2023-01-28 17:38:36",acrilico manos
854.05,"2023-01-28 17:38:36",acrilico de color
730.55,"2023-01-28 17:42:02",acrilico manos
